M_GeV,seesaw_line_NO,seesaw_line_IO,NO_total_lower,NO_total_upper,NO_e_lower,NO_e_upper,NO_mu_lower,NO_mu_upper,NO_tau_lower,NO_tau_upper,IO_total_lower,IO_total_upper,IO_e_lower,IO_e_upper,IO_mu_lower,IO_mu_upper,IO_tau_lower,IO_tau_upper
1.933892e-01,3.036262e-10,5.130231e-10,9.522088e-10,4.362950e-05,1.132311e-11,5.207878e-06,3.199538e-10,3.707195e-05,2.196960e-10,2.929982e-05,1.405772e-09,1.034926e-05,1.473550e-10,9.661951e-06,4.755332e-11,4.395463e-06,1.016957e-10,5.786282e-06
2.002200e-01,2.932674e-10,4.955204e-10,8.635902e-10,4.236694e-05,1.071171e-11,5.057171e-06,2.973662e-10,3.599916e-05,2.044065e-10,2.845193e-05,1.292501e-09,9.945650e-06,1.396993e-10,9.285143e-06,4.537419e-11,4.224044e-06,9.620850e-11,5.560622e-06
2.072922e-01,2.832621e-10,4.786149e-10,7.840501e-10,4.112275e-05,1.014115e-11,4.908657e-06,2.765793e-10,3.494196e-05,1.903251e-10,2.761638e-05,1.189079e-09,9.556571e-06,1.324674e-10,8.921904e-06,4.330087e-11,4.058797e-06,9.103705e-11,5.343088e-06
2.146141e-01,2.735981e-10,4.622861e-10,7.127156e-10,3.989560e-05,9.608933e-12,4.762176e-06,2.574662e-10,3.389925e-05,1.773675e-10,2.679227e-05,1.094731e-09,9.181276e-06,1.256396e-10,8.571533e-06,4.132905e-11,3.899405e-06,8.616608e-11,5.133260e-06
2.221947e-01,2.642638e-10,4.465143e-10,6.487798e-10,3.868444e-05,9.112632e-12,4.617605e-06,2.399048e-10,3.287013e-05,1.654524e-10,2.597891e-05,1.008721e-09,8.819071e-06,1.191967e-10,8.233382e-06,3.945449e-11,3.745571e-06,8.158063e-11,4.930751e-06
2.300430e-01,2.552480e-10,4.312807e-10,5.914998e-10,3.748848e-05,8.649884e-12,4.474849e-06,2.237789e-10,3.185393e-05,1.545026e-10,2.517575e-05,9.303594e-10,8.469313e-06,1.131198e-10,7.906852e-06,3.767301e-11,3.597025e-06,7.726608e-11,4.735201e-06
2.381686e-01,2.465397e-10,4.165668e-10,5.401951e-10,3.630718e-05,8.218411e-12,4.333841e-06,2.089778e-10,3.085018e-05,1.444443e-10,2.438244e-05,8.589991e-10,8.131412e-06,1.073904e-10,7.591392e-06,3.598052e-11,3.453514e-06,7.320820e-11,4.546280e-06
2.465811e-01,2.381286e-10,4.023549e-10,4.942450e-10,3.514019e-05,7.816029e-12,4.194542e-06,1.953972e-10,2.985859e-05,1.352080e-10,2.359873e-05,7.940360e-10,7.804822e-06,1.019906e-10,7.286491e-06,3.437299e-11,3.314807e-06,6.939317e-11,4.363684e-06
2.552908e-01,2.300044e-10,3.886278e-10,4.530852e-10,3.398736e-05,7.440651e-12,4.056934e-06,1.829386e-10,2.887903e-05,1.267280e-10,2.282454e-05,7.349080e-10,7.489046e-06,9.690300e-11,6.991686e-06,3.284650e-11,3.180693e-06,6.580757e-11,4.187133e-06
2.643081e-01,2.221574e-10,3.753691e-10,4.162050e-10,3.284870e-05,7.090295e-12,3.921016e-06,1.715099e-10,2.791151e-05,1.189428e-10,2.205986e-05,6.810943e-10,7.183626e-06,9.211065e-11,6.706549e-06,3.139724e-11,3.050977e-06,6.243845e-11,4.016372e-06
2.736440e-01,2.145781e-10,3.625627e-10,3.831431e-10,3.172434e-05,6.763084e-12,3.786807e-06,1.610248e-10,2.695615e-05,1.117947e-10,2.130479e-05,6.321135e-10,6.888144e-06,8.759723e-11,6.430691e-06,3.002146e-11,2.925482e-06,5.927334e-11,3.851168e-06
2.833096e-01,2.072574e-10,3.501933e-10,3.534845e-10,3.061455e-05,6.457249e-12,3.654335e-06,1.514033e-10,2.601316e-05,1.052301e-10,2.055950e-05,5.875223e-10,6.602220e-06,8.334700e-11,6.163755e-06,2.871557e-11,2.804046e-06,5.630023e-11,3.691307e-06
2.933166e-01,2.001865e-10,3.382458e-10,3.268569e-10,2.951965e-05,6.171129e-12,3.523642e-06,1.425707e-10,2.508283e-05,9.919923e-11,1.982421e-05,5.469134e-10,6.325505e-06,7.934481e-11,5.905418e-06,2.747604e-11,2.686522e-06,5.350761e-11,3.536596e-06
3.036771e-01,1.933567e-10,3.267059e-10,3.029267e-10,2.844006e-05,5.903171e-12,3.394775e-06,1.344582e-10,2.416549e-05,9.365588e-11,1.909920e-05,5.099138e-10,6.057684e-06,7.557614e-11,5.655383e-06,2.629950e-11,2.572775e-06,5.088448e-11,3.386857e-06
3.144035e-01,1.867600e-10,3.155598e-10,2.813956e-10,2.737621e-05,5.651926e-12,3.267787e-06,1.270021e-10,2.326154e-05,8.855742e-11,1.838476e-05,4.761824e-10,5.798466e-06,7.202710e-11,5.413381e-06,2.518268e-11,2.462682e-06,4.842034e-11,3.241928e-06
3.255089e-01,1.803884e-10,3.047939e-10,2.619980e-10,2.632858e-05,5.416051e-12,3.142737e-06,1.201438e-10,2.237137e-05,8.386452e-11,1.768121e-05,4.454083e-10,5.547589e-06,6.868441e-11,5.179164e-06,2.412242e-11,2.356131e-06,4.610519e-11,3.101662e-06
3.370064e-01,1.742341e-10,2.943953e-10,2.444969e-10,2.529768e-05,5.194300e-12,3.019682e-06,1.138294e-10,2.149542e-05,7.954100e-11,1.698890e-05,4.173085e-10,5.304810e-06,6.553543e-11,4.952509e-06,2.311571e-11,2.253020e-06,4.392954e-11,2.965924e-06
