M_GeV,seesaw_line_NO,seesaw_line_IO,NO_total_lower,NO_total_upper,NO_e_lower,NO_e_upper,NO_mu_lower,NO_mu_upper,NO_tau_lower,NO_tau_upper,IO_total_lower,IO_total_upper,IO_e_lower,IO_e_upper,IO_mu_lower,IO_mu_upper,IO_tau_lower,IO_tau_upper
1.663817e+00,3.529115e-11,5.962983e-11,3.529332e-11,1.137258e-06,1.036382e-12,1.357499e-07,1.920853e-11,9.663270e-07,1.450467e-11,7.637365e-07,5.964852e-11,2.925576e-07,1.169912e-11,2.731283e-07,4.254389e-12,1.242529e-07,7.770313e-12,1.635693e-07
1.722586e+00,3.408713e-11,5.759545e-11,3.408837e-11,1.041384e-06,9.996114e-13,1.243058e-07,1.851513e-11,8.848629e-07,1.400199e-11,6.993514e-07,5.760959e-11,2.688377e-07,1.130492e-11,2.509838e-07,4.106622e-12,1.141788e-07,7.511517e-12,1.503075e-07
1.783431e+00,3.292419e-11,5.563048e-11,3.292473e-11,9.533797e-07,9.639147e-13,1.138011e-07,1.784804e-11,8.100859e-07,1.351648e-11,6.402514e-07,5.564109e-11,2.468357e-07,1.092370e-11,2.304429e-07,3.963863e-12,1.048343e-07,7.261153e-12,1.380061e-07
1.846425e+00,3.180092e-11,5.373255e-11,3.180105e-11,8.726426e-07,9.292748e-13,1.041638e-07,1.720641e-11,7.414837e-07,1.304771e-11,5.860316e-07,5.374044e-11,2.264524e-07,1.055504e-11,2.114133e-07,3.825960e-12,9.617725e-08,7.018937e-12,1.266098e-07
1.911644e+00,3.071598e-11,5.189937e-11,3.071598e-11,7.986076e-07,8.956761e-13,9.532657e-08,1.658934e-11,6.785762e-07,1.259520e-11,5.363127e-07,5.190518e-11,2.075920e-07,1.019852e-11,1.938055e-07,3.692764e-12,8.816699e-08,6.784598e-12,1.160649e-07
1.979167e+00,2.966805e-11,5.012873e-11,2.966805e-11,7.307468e-07,8.631029e-13,8.722630e-08,1.599594e-11,6.209150e-07,1.215846e-11,4.907401e-07,5.013297e-11,1.901617e-07,9.853753e-12,1.775327e-07,3.564133e-12,8.076411e-08,6.557875e-12,1.063196e-07
2.049075e+00,2.865587e-11,4.841850e-11,2.865587e-11,6.685680e-07,8.315402e-13,7.980427e-08,1.542530e-11,5.680817e-07,1.173699e-11,4.489834e-07,4.842155e-11,1.740720e-07,9.520373e-12,1.625116e-07,3.439929e-12,7.393062e-08,6.338521e-12,9.732388e-08
2.121452e+00,2.767822e-11,4.676661e-11,2.767822e-11,6.116132e-07,8.009734e-13,7.300580e-08,1.487655e-11,5.196872e-07,1.133032e-11,4.107347e-07,4.676878e-11,1.592370e-07,9.198015e-12,1.486618e-07,3.320017e-12,6.762999e-08,6.126298e-12,8.902960e-08
2.196385e+00,2.673393e-11,4.517109e-11,2.673393e-11,5.594568e-07,7.713880e-13,6.678011e-08,1.434882e-11,4.753700e-07,1.093796e-11,3.757087e-07,4.517260e-11,1.455741e-07,8.886332e-12,1.359062e-07,3.204266e-12,6.182717e-08,5.920975e-12,8.139063e-08
2.273966e+00,2.582186e-11,4.363000e-11,2.582186e-11,5.117052e-07,7.427690e-13,6.108019e-08,1.384126e-11,4.347955e-07,1.055942e-11,3.436406e-07,4.363103e-11,1.330042e-07,8.584986e-12,1.241712e-07,3.092549e-12,5.648860e-08,5.722331e-12,7.436283e-08
2.354286e+00,2.494090e-11,4.214148e-11,2.494090e-11,4.679942e-07,7.151010e-13,5.586258e-08,1.335303e-11,3.976543e-07,1.019424e-11,3.142860e-07,4.214217e-11,1.214522e-07,8.293652e-12,1.133863e-07,2.984741e-12,5.158229e-08,5.530155e-12,6.790406e-08
2.437444e+00,2.408999e-11,4.070375e-11,2.408999e-11,4.279876e-07,6.883679e-13,5.108716e-08,1.288334e-11,3.636607e-07,9.841942e-12,2.874192e-07,4.070420e-11,1.108461e-07,8.012015e-12,1.034847e-07,2.880720e-12,4.707778e-08,5.344240e-12,6.197421e-08
2.523539e+00,2.326812e-11,3.931507e-11,2.326812e-11,3.913757e-07,6.625528e-13,4.671693e-08,1.243140e-11,3.325516e-07,9.502065e-12,2.628321e-07,3.931535e-11,1.011181e-07,7.739769e-12,9.440263e-08,2.780368e-12,4.294613e-08,5.164386e-12,5.653522e-08
2.612675e+00,2.247429e-11,3.797376e-11,2.247429e-11,3.578732e-07,6.376381e-13,4.271788e-08,1.199644e-11,3.040846e-07,9.174158e-12,2.403332e-07,3.797393e-11,9.220342e-08,7.476617e-12,8.608003e-08,2.683567e-12,3.915997e-08,4.990404e-12,5.155104e-08
2.704960e+00,2.170754e-11,3.667822e-11,2.170754e-11,3.272180e-07,6.136051e-13,3.905870e-08,1.157776e-11,2.780369e-07,8.857780e-12,2.197464e-07,3.667831e-11,8.404137e-08,7.222271e-12,7.846003e-08,2.590205e-12,3.569344e-08,4.822105e-12,4.698762e-08
2.800504e+00,2.096695e-11,3.542688e-11,2.096695e-11,2.991694e-07,5.904347e-13,3.571064e-08,1.117464e-11,2.542040e-07,8.552504e-12,2.009101e-07,3.542693e-11,7.657452e-08,6.976451e-12,7.148907e-08,2.500169e-12,3.252218e-08,4.659311e-12,4.281290e-08
2.899423e+00,2.025162e-11,3.421823e-11,2.025162e-11,2.735063e-07,5.681068e-13,3.264735e-08,1.078643e-11,2.323981e-07,8.257912e-12,1.836758e-07,3.421825e-11,6.974899e-08,6.738885e-12,6.511683e-08,2.413350e-12,2.962328e-08,4.501847e-12,3.899674e-08
3.001836e+00,1.956070e-11,3.305081e-11,1.956070e-11,2.500264e-07,5.466006e-13,2.984464e-08,1.041248e-11,2.124472e-07,7.973603e-12,1.679076e-07,3.305082e-11,6.351424e-08,6.509308e-12,5.929614e-08,2.329641e-12,2.697531e-08,4.349546e-12,3.551088e-08
3.107866e+00,1.889335e-11,3.192323e-11,1.889335e-11,2.285439e-07,5.258947e-13,2.728037e-08,1.005219e-11,1.941936e-07,7.699187e-12,1.534809e-07,3.192323e-11,5.782301e-08,6.287465e-12,5.398288e-08,2.248938e-12,2.455817e-08,4.202243e-12,3.232891e-08
3.217642e+00,1.824877e-11,3.083411e-11,1.824877e-11,2.088887e-07,5.059671e-13,2.493421e-08,9.704976e-12,1.774926e-07,7.434289e-12,1.402812e-07,3.083411e-11,5.263121e-08,6.073105e-12,4.913586e-08,2.171137e-12,2.235314e-08,4.059781e-12,2.942616e-08
3.331295e+00,1.762618e-11,2.978215e-11,1.762618e-11,1.909049e-07,4.867955e-13,2.278756e-08,9.370299e-12,1.622118e-07,7.178548e-12,1.282041e-07,2.978215e-11,4.789775e-08,5.865987e-12,4.471677e-08,2.096140e-12,2.034278e-08,3.922007e-12,2.677968e-08
3.448962e+00,1.702484e-11,2.876608e-11,1.702484e-11,1.744501e-07,4.683571e-13,2.082340e-08,9.047634e-12,1.482301e-07,6.931616e-12,1.171536e-07,2.876608e-11,4.358450e-08,5.665875e-12,4.068996e-08,2.023848e-12,1.851089e-08,3.788774e-12,2.436814e-08
3.570786e+00,1.644400e-11,2.778467e-11,1.644400e-11,1.593939e-07,4.506290e-13,1.902621e-08,8.736490e-12,1.354369e-07,6.693163e-12,1.070425e-07,2.778467e-11,3.965607e-08,5.472541e-12,3.702242e-08,1.954166e-12,1.684243e-08,3.659938e-12,2.217174e-08
3.696913e+00,1.588299e-11,2.683675e-11,1.588299e-11,1.456175e-07,4.335883e-13,1.738177e-08,8.436399e-12,1.237311e-07,6.462868e-12,9.779083e-08,2.683675e-11,3.607969e-08,5.285763e-12,3.368356e-08,1.887001e-12,1.532350e-08,3.535361e-12,2.017219e-08
3.827494e+00,1.534111e-11,2.592116e-11,1.534111e-11,1.330120e-07,4.172121e-13,1.587711e-08,8.146913e-12,1.130202e-07,6.240421e-12,8.932552e-08,2.592116e-11,3.282513e-08,5.105327e-12,3.064514e-08,1.822261e-12,1.394124e-08,3.414909e-12,1.835256e-08
3.962689e+00,1.481772e-11,2.503682e-11,1.481772e-11,1.214782e-07,4.014776e-13,1.450036e-08,7.867606e-12,1.032199e-07,6.025526e-12,8.157984e-08,2.503682e-11,2.986446e-08,4.931024e-12,2.788109e-08,1.759859e-12,1.268381e-08,3.298452e-12,1.669724e-08
4.102658e+00,1.431219e-11,2.418264e-11,1.431219e-11,1.109251e-07,3.863622e-13,1.324068e-08,7.598072e-12,9.425294e-08,5.817899e-12,7.449280e-08,2.418264e-11,2.717199e-08,4.762651e-12,2.536743e-08,1.699708e-12,1.154028e-08,3.185866e-12,1.519188e-08
4.247572e+00,1.382390e-11,2.335761e-11,1.382390e-11,1.012697e-07,3.718435e-13,1.208815e-08,7.337931e-12,8.604876e-08,5.617268e-12,6.800862e-08,2.335761e-11,2.472409e-08,4.600014e-12,2.308210e-08,1.641724e-12,1.050063e-08,3.077028e-12,1.382325e-08
4.397604e+00,1.335228e-11,2.256072e-11,1.335228e-11,9.243607e-08,3.578996e-13,1.103372e-08,7.086819e-12,7.854285e-08,5.423375e-12,6.207633e-08,2.256072e-11,2.249906e-08,4.442921e-12,2.100484e-08,1.585827e-12,9.555629e-09,2.971822e-12,1.257924e-08
4.552935e+00,1.289674e-11,2.179102e-11,1.289674e-11,8.435487e-08,3.445087e-13,1.006910e-08,6.844395e-12,7.167626e-08,5.235974e-12,5.664932e-08,2.179102e-11,2.047702e-08,4.291190e-12,1.911708e-08,1.531937e-12,8.696840e-09,2.870135e-12,1.144871e-08
4.713753e+00,1.245674e-11,2.104758e-11,1.245674e-11,7.696267e-08,3.316498e-13,9.186724e-09,6.610329e-12,6.539512e-08,5.054829e-12,5.168502e-08,2.104758e-11,1.863973e-08,4.144642e-12,1.740181e-08,1.479978e-12,7.916521e-09,2.771855e-12,1.042148e-08
4.880252e+00,1.203176e-11,2.032951e-11,1.203176e-11,7.020150e-08,3.193021e-13,8.379670e-09,6.384311e-12,5.965015e-08,4.879712e-12,4.714449e-08,2.032951e-11,1.697054e-08,4.003104e-12,1.584347e-08,1.429875e-12,7.207594e-09,2.676878e-12,9.488235e-09
5.052631e+00,1.162127e-11,1.963593e-11,1.162127e-11,6.401836e-08,3.074456e-13,7.641614e-09,6.166040e-12,5.439635e-08,4.710410e-12,4.299214e-08,1.963593e-11,1.545421e-08,3.866410e-12,1.442785e-08,1.381558e-12,6.563589e-09,2.585100e-12,8.640453e-09
5.231099e+00,1.122479e-11,1.896602e-11,1.122479e-11,5.836478e-08,2.960606e-13,6.966769e-09,5.955233e-12,4.959250e-08,4.546714e-12,3.919543e-08,1.896602e-11,1.407684e-08,3.734398e-12,1.314195e-08,1.334957e-12,5.978601e-09,2.496422e-12,7.870361e-09
5.415871e+00,1.084184e-11,1.831896e-11,1.084184e-11,5.319642e-08,2.851282e-13,6.349842e-09,5.751617e-12,4.520095e-08,4.388429e-12,3.572456e-08,1.831896e-11,1.282573e-08,3.606911e-12,1.197393e-08,1.290004e-12,5.447241e-09,2.410747e-12,7.170868e-09
5.607170e+00,1.047195e-11,1.769397e-11,1.047195e-11,4.847269e-08,2.746301e-13,5.785990e-09,5.554930e-12,4.118721e-08,4.235365e-12,3.255230e-08,1.769397e-11,1.168933e-08,3.483799e-12,1.091300e-08,1.246636e-12,4.964599e-09,2.327982e-12,6.535507e-09
5.805226e+00,1.011468e-11,1.709031e-11,1.011468e-11,4.415646e-08,2.645485e-13,5.270778e-09,5.364924e-12,3.751970e-08,4.087342e-12,2.965369e-08,1.709031e-11,1.065711e-08,3.364915e-12,9.949330e-09,1.204790e-12,4.526200e-09,2.248035e-12,5.958389e-09
6.010277e+00,9.769602e-12,1.650725e-11,9.769602e-12,4.021368e-08,2.548664e-13,4.800145e-09,5.181357e-12,3.416953e-08,3.944189e-12,2.700588e-08,1.650725e-11,9.719473e-09,3.250118e-12,9.073963e-09,1.164406e-12,4.127974e-09,2.170820e-12,5.434155e-09
6.222571e+00,9.436295e-12,1.594407e-11,9.436295e-12,3.661319e-08,2.455672e-13,4.370369e-09,5.004000e-12,3.111019e-08,3.805739e-12,2.458794e-08,1.594407e-11,8.867700e-09,3.139269e-12,8.278758e-09,1.125427e-12,3.766214e-09,2.096249e-12,4.957927e-09
6.442364e+00,9.114359e-12,1.540011e-11,9.114359e-12,3.332640e-08,2.366351e-13,3.978037e-09,4.832631e-12,2.831741e-08,3.671837e-12,2.238066e-08,1.540011e-11,8.093858e-09,3.032237e-12,7.556308e-09,1.087797e-12,3.437554e-09,2.024241e-12,4.525271e-09
6.669920e+00,8.803407e-12,1.487471e-11,8.803407e-12,3.032710e-08,2.280549e-13,3.620023e-09,4.667040e-12,2.576891e-08,3.542332e-12,2.036645e-08,1.487471e-11,7.390738e-09,2.928893e-12,6.899884e-09,1.051464e-12,3.138930e-09,1.954716e-12,4.132156e-09
6.905514e+00,8.503063e-12,1.436723e-11,8.503063e-12,2.759123e-08,2.198120e-13,3.293454e-09,4.507021e-12,2.344424e-08,3.417081e-12,1.852915e-08,1.436723e-11,6.751790e-09,2.829113e-12,6.303370e-09,1.016375e-12,2.867561e-09,1.887593e-12,3.774920e-09
7.149429e+00,8.212966e-12,1.387707e-11,8.212966e-12,2.509672e-08,2.118923e-13,2.995694e-09,4.352379e-12,2.132466e-08,3.295945e-12,1.685394e-08,1.387707e-11,6.171067e-09,2.732776e-12,5.761213e-09,9.824836e-13,2.620920e-09,1.822798e-12,3.450237e-09
7.401960e+00,7.932766e-12,1.340363e-11,7.932766e-12,2.282329e-08,2.042823e-13,2.724324e-09,4.202926e-12,1.939293e-08,3.178794e-12,1.532720e-08,1.340363e-11,5.643165e-09,2.639768e-12,5.268371e-09,9.497415e-13,2.396714e-09,1.760257e-12,3.155087e-09
7.663411e+00,7.662125e-12,1.294634e-11,7.662125e-12,2.075230e-08,1.969690e-13,2.477119e-09,4.058480e-12,1.763321e-08,3.065503e-12,1.393641e-08,1.294634e-11,5.163184e-09,2.549974e-12,4.820266e-09,9.181043e-13,2.192860e-09,1.699897e-12,2.886729e-09
7.934097e+00,7.400718e-12,1.250465e-11,7.400718e-12,1.886664e-08,1.899402e-13,2.252035e-09,3.918867e-12,1.603097e-08,2.955950e-12,1.267007e-08,1.250465e-11,4.726673e-09,2.463285e-12,4.412745e-09,8.875293e-13,2.007468e-09,1.641648e-12,2.642675e-09
8.214344e+00,7.148230e-12,1.207803e-11,7.148230e-12,1.715056e-08,1.831838e-13,2.047193e-09,3.783920e-12,1.457281e-08,2.850021e-12,1.151762e-08,1.207803e-11,4.329596e-09,2.379598e-12,4.042039e-09,8.579756e-13,1.838825e-09,1.585441e-12,2.420669e-09
8.504489e+00,6.904355e-12,1.166597e-11,6.904355e-12,1.558959e-08,1.766884e-13,1.860866e-09,3.653478e-12,1.324646e-08,2.747605e-12,1.046933e-08,1.166597e-11,3.968293e-09,2.298809e-12,3.704731e-09,8.294041e-13,1.685375e-09,1.531211e-12,2.218664e-09
8.804884e+00,6.668801e-12,1.126796e-11,6.668801e-12,1.417041e-08,1.704432e-13,1.691465e-09,3.527387e-12,1.204059e-08,2.648597e-12,9.516276e-09,1.126796e-11,3.639442e-09,2.220819e-12,3.397719e-09,8.017777e-13,1.545708e-09,1.478893e-12,2.034803e-09
9.115888e+00,6.441283e-12,1.088354e-11,6.441283e-12,1.288081e-08,1.644377e-13,1.537530e-09,3.405499e-12,1.094481e-08,2.552895e-12,8.650230e-09,1.088354e-11,3.340032e-09,2.145534e-12,3.118194e-09,7.750607e-13,1.418545e-09,1.428423e-12,1.867403e-09
9.437878e+00,6.221527e-12,1.051223e-11,6.221527e-12,1.170952e-08,1.586618e-13,1.397718e-09,3.287671e-12,9.949569e-09,2.460400e-12,7.863640e-09,1.051223e-11,3.067334e-09,2.072860e-12,2.863607e-09,7.492194e-13,1.302726e-09,1.379740e-12,1.714938e-09
9.771242e+00,6.009269e-12,1.015358e-11,6.009269e-12,1.064621e-08,1.531059e-13,1.270795e-09,3.173766e-12,9.046074e-09,2.371020e-12,7.149563e-09,1.015358e-11,2.818872e-09,2.002708e-12,2.631646e-09,7.242215e-13,1.197201e-09,1.332785e-12,1.576022e-09
1.011638e+01,5.804252e-12,9.807176e-12,5.804252e-12,9.681375e-09,1.477608e-13,1.155626e-09,3.063655e-12,8.226254e-09,2.284664e-12,6.501619e-09,9.807176e-12,2.592403e-09,1.934991e-12,2.420217e-09,7.000361e-13,1.101017e-09,1.287498e-12,1.449404e-09
1.047371e+01,5.606229e-12,9.472587e-12,5.606229e-12,8.806287e-09,1.426177e-13,1.051171e-09,2.957210e-12,7.482693e-09,2.201244e-12,5.913945e-09,9.472587e-12,2.385894e-09,1.869625e-12,2.227424e-09,6.766340e-13,1.013311e-09,1.243823e-12,1.333944e-09
1.084366e+01,5.414963e-12,9.149412e-12,5.414963e-12,8.012937e-09,1.376681e-13,9.564716e-10,2.854313e-12,6.808584e-09,2.120677e-12,5.381163e-09,9.149412e-12,2.197503e-09,1.806529e-12,2.051544e-09,6.539873e-13,9.332984e-10,1.201706e-12,1.228615e-09
1.122668e+01,5.230222e-12,8.837264e-12,5.230222e-12,7.293905e-09,1.329040e-13,8.706436e-10,2.754846e-12,6.197623e-09,2.042879e-12,4.898290e-09,8.837264e-12,2.025552e-09,1.745624e-12,1.891013e-09,6.320694e-13,8.602692e-10,1.161092e-12,1.132477e-09
1.162322e+01,5.051784e-12,8.535765e-12,5.051784e-12,6.642510e-09,1.283175e-13,7.928893e-10,2.658700e-12,5.644133e-09,1.967772e-12,4.460840e-09,8.535765e-12,1.868536e-09,1.686835e-12,1.744424e-09,6.108551e-13,7.935822e-10,1.121928e-12,1.044689e-09
1.203378e+01,4.879433e-12,8.244552e-12,4.879433e-12,6.052580e-09,1.239013e-13,7.224716e-10,2.565769e-12,5.142870e-09,1.895280e-12,4.064666e-09,8.244552e-12,1.725081e-09,1.630087e-12,1.610497e-09,5.903201e-13,7.326553e-10,1.084165e-12,9.644836e-10
1.245883e+01,4.712962e-12,7.963275e-12,4.712962e-12,5.518463e-09,1.196482e-13,6.587163e-10,2.475950e-12,4.689031e-09,1.825328e-12,3.705975e-09,7.963275e-12,1.593946e-09,1.575310e-12,1.488071e-09,5.704413e-13,6.769608e-10,1.047753e-12,8.911661e-10
1.289890e+01,4.552171e-12,7.691593e-12,4.552171e-12,5.034993e-09,1.155514e-13,6.010065e-10,2.389146e-12,4.278228e-09,1.757844e-12,3.381297e-09,7.691593e-12,1.474005e-09,1.522434e-12,1.376096e-09,5.511968e-13,6.260205e-10,1.012643e-12,8.241073e-10
1.335452e+01,4.396866e-12,7.429181e-12,4.396866e-12,4.597451e-09,1.116045e-13,5.487788e-10,2.305264e-12,3.906448e-09,1.692756e-12,3.087461e-09,7.429181e-12,1.364239e-09,1.471393e-12,1.273620e-09,5.325657e-13,5.794015e-10,9.787900e-13,7.627370e-10
1.382622e+01,4.246859e-12,7.175721e-12,4.246859e-12,4.201528e-09,1.078012e-13,5.015190e-10,2.224213e-12,3.570032e-09,1.629997e-12,2.821575e-09,7.175721e-12,1.263723e-09,1.422123e-12,1.179780e-09,5.145279e-13,5.367112e-10,9.461480e-13,7.065386e-10
1.431459e+01,4.101970e-12,6.930909e-12,4.101970e-12,3.843296e-09,1.041355e-13,4.587584e-10,2.145907e-12,3.265644e-09,1.569499e-12,2.581001e-09,6.930909e-12,1.171620e-09,1.374561e-12,1.093794e-09,4.970642e-13,4.975941e-10,9.146734e-13,6.550439e-10
1.482021e+01,3.962024e-12,6.694449e-12,3.962024e-12,3.519180e-09,1.006017e-13,4.200700e-10,2.070262e-12,2.990242e-09,1.511195e-12,2.363338e-09,6.694449e-12,1.087171e-09,1.328647e-12,1.014954e-09,4.801564e-13,4.617278e-10,8.843237e-13,6.078287e-10
1.534368e+01,3.826852e-12,6.466056e-12,3.826852e-12,3.225924e-09,9.719438e-14,3.850652e-10,1.997197e-12,2.741063e-09,1.455021e-12,2.166399e-09,6.466056e-12,1.009689e-09,1.284322e-12,9.426179e-10,4.637869e-13,4.288204e-10,8.550577e-13,5.645087e-10
1.588565e+01,3.696293e-12,6.245455e-12,3.696293e-12,2.960572e-09,9.390832e-14,3.533912e-10,1.926636e-12,2.515594e-09,1.400914e-12,1.988199e-09,6.245455e-12,9.385506e-10,1.241532e-12,8.762042e-10,4.479389e-13,3.986071e-10,8.268358e-13,5.247353e-10
1.644676e+01,3.570187e-12,6.032380e-12,3.570187e-12,2.720437e-09,9.073855e-14,3.247273e-10,1.858502e-12,2.311551e-09,1.348811e-12,1.826934e-09,6.032380e-12,8.731908e-10,1.200220e-12,8.151854e-10,4.325963e-13,3.708481e-10,7.996192e-13,4.881928e-10
1.702769e+01,3.448384e-12,5.826575e-12,3.448384e-12,2.503084e-09,8.768030e-14,2.987827e-10,1.792723e-12,2.126866e-09,1.298651e-12,1.680969e-09,5.826575e-12,8.130976e-10,1.160336e-12,7.590834e-10,4.177436e-13,3.453259e-10,7.733709e-13,4.545948e-10
1.762914e+01,3.330736e-12,5.627791e-12,3.330736e-12,2.306305e-09,8.472905e-14,2.752940e-10,1.729228e-12,1.959664e-09,1.250375e-12,1.548820e-09,5.627791e-12,7.578064e-10,1.121828e-12,7.074645e-10,4.033659e-13,3.218432e-10,7.480548e-13,4.236816e-10
1.825183e+01,3.217102e-12,5.435789e-12,3.217102e-12,2.128102e-09,8.188047e-14,2.540227e-10,1.667948e-12,1.808245e-09,1.203921e-12,1.429146e-09,5.435789e-12,7.068960e-10,1.084647e-12,6.599354e-10,3.894489e-13,3.002210e-10,7.236360e-13,3.952177e-10
1.889652e+01,3.107345e-12,5.250337e-12,3.107345e-12,1.966666e-09,7.913043e-14,2.347528e-10,1.608818e-12,1.671073e-09,1.159234e-12,1.320733e-09,5.250337e-12,6.599842e-10,1.048746e-12,6.161394e-10,3.759788e-13,2.802971e-10,7.000811e-13,3.689895e-10
1.956398e+01,3.001332e-12,5.071212e-12,3.001332e-12,1.820364e-09,7.647498e-14,2.172893e-10,1.551771e-12,1.546760e-09,1.116255e-12,1.222482e-09,5.071212e-12,6.167241e-10,1.014079e-12,5.757526e-10,3.629422e-13,2.619242e-10,6.773576e-13,3.448029e-10
2.025502e+01,2.898936e-12,4.898199e-12,2.898936e-12,1.687719e-09,7.391040e-14,2.014559e-10,1.496744e-12,1.434052e-09,1.074929e-12,1.133403e-09,4.898199e-12,5.768008e-10,9.806037e-13,5.384809e-10,3.503263e-13,2.449684e-10,6.554342e-13,3.224819e-10
2.097046e+01,2.800034e-12,4.731088e-12,2.800034e-12,1.567397e-09,7.143311e-14,1.870937e-10,1.443675e-12,1.331815e-09,1.035199e-12,1.052600e-09,4.731088e-12,5.399282e-10,9.482760e-13,5.040574e-10,3.381187e-13,2.293082e-10,6.342809e-13,3.018665e-10
2.171118e+01,2.704506e-12,4.569679e-12,2.704506e-12,1.458197e-09,6.903970e-14,1.740589e-10,1.392504e-12,1.239028e-09,9.970109e-13,9.792654e-10,4.569679e-12,5.058464e-10,9.170556e-13,4.722392e-10,3.263073e-13,2.148334e-10,6.138684e-13,2.828115e-10
2.247806e+01,2.612237e-12,4.413776e-12,2.612237e-12,1.359034e-09,6.672696e-14,1.622221e-10,1.343171e-12,1.154768e-09,9.603119e-13,9.126712e-10,4.413776e-12,4.743190e-10,8.869028e-13,4.428059e-10,3.148805e-13,2.014434e-10,5.941689e-13,2.651847e-10
2.327202e+01,2.523116e-12,4.263192e-12,2.523116e-12,1.268929e-09,6.449179e-14,1.514667e-10,1.295617e-12,1.078206e-09,9.250491e-13,8.521604e-10,4.263192e-12,4.451312e-10,8.577797e-13,4.155568e-10,3.038270e-13,1.890471e-10,5.751553e-13,2.488659e-10
2.409404e+01,2.437035e-12,4.117746e-12,2.437035e-12,1.187001e-09,6.233129e-14,1.416873e-10,1.249785e-12,1.008593e-09,8.911706e-13,7.971411e-10,4.117746e-12,4.180874e-10,8.296494e-13,3.903093e-10,2.931359e-13,1.775614e-10,5.568017e-13,2.337458e-10
2.494508e+01,2.353891e-12,3.977262e-12,2.353891e-12,1.112456e-09,6.024267e-14,1.327892e-10,1.205619e-12,9.452519e-10,8.586259e-13,7.470798e-10,3.977262e-12,3.930094e-10,8.024765e-13,3.668971e-10,2.827966e-13,1.669106e-10,5.390831e-13,2.197249e-10
2.582619e+01,2.273584e-12,3.841570e-12,2.273584e-12,1.044578e-09,5.822328e-14,1.246869e-10,1.163065e-12,8.875759e-10,8.273651e-13,7.014956e-10,3.841570e-12,3.697351e-10,7.762269e-13,3.451686e-10,2.727988e-13,1.570258e-10,5.219753e-13,2.067123e-10
2.673842e+01,2.196017e-12,3.710508e-12,2.196017e-12,9.827213e-10,5.627062e-14,1.173033e-10,1.122067e-12,8.350163e-10,7.973396e-13,6.599551e-10,3.710508e-12,3.481163e-10,7.508675e-13,3.249859e-10,2.631324e-13,1.478441e-10,5.054551e-13,1.946254e-10
2.768287e+01,2.121096e-12,3.583918e-12,2.121096e-12,9.263041e-10,5.438230e-14,1.105690e-10,1.082573e-12,7.870788e-10,7.685016e-13,6.220676e-10,3.583918e-12,3.280183e-10,7.263667e-13,3.062228e-10,2.537878e-13,1.393083e-10,4.895003e-13,1.833887e-10
2.866068e+01,2.048731e-12,3.461646e-12,2.048731e-12,8.748018e-10,5.255605e-14,1.044214e-10,1.044530e-12,7.433173e-10,7.408045e-13,5.874808e-10,3.461646e-12,3.093177e-10,7.026938e-13,2.887644e-10,2.447554e-13,1.313661e-10,4.740894e-13,1.729333e-10
2.967302e+01,1.978835e-12,3.343546e-12,1.978835e-12,8.277408e-10,5.078970e-14,9.880391e-11,1.007888e-12,7.033297e-10,7.142027e-13,5.558766e-10,3.343546e-12,2.919019e-10,6.798193e-13,2.725055e-10,2.360262e-13,1.239695e-10,4.592017e-13,1.631963e-10
3.072113e+01,1.911323e-12,3.229475e-12,1.911323e-12,7.846937e-10,4.908121e-14,9.366555e-11,9.725970e-13,6.667526e-10,6.886519e-13,5.269678e-10,3.229475e-12,2.756682e-10,6.577146e-13,2.573501e-10,2.275910e-13,1.170749e-10,4.448173e-13,1.541201e-10
3.180626e+01,1.846115e-12,3.119296e-12,1.846115e-12,7.452740e-10,4.742862e-14,8.896019e-11,9.386070e-13,6.332578e-10,6.641087e-13,5.004952e-10,3.119296e-12,2.605223e-10,6.363524e-13,2.432103e-10,2.194413e-13,1.106424e-10,4.309172e-13,1.456522e-10
3.292971e+01,1.783132e-12,3.012875e-12,1.783132e-12,7.091323e-10,4.583006e-14,8.464610e-11,9.058704e-13,6.025482e-10,6.405309e-13,4.762239e-10,3.012875e-12,2.463782e-10,6.157061e-13,2.300057e-10,2.115685e-13,1.046353e-10,4.174829e-13,1.377443e-10
3.409285e+01,1.722297e-12,2.910086e-12,1.722297e-12,6.759521e-10,4.428376e-14,8.068552e-11,8.743403e-13,5.743551e-10,6.178777e-13,4.539414e-10,2.910086e-12,2.331569e-10,5.957503e-13,2.176626e-10,2.039645e-13,9.902011e-11,4.044967e-13,1.303524e-10
3.529707e+01,1.663538e-12,2.810803e-12,1.663538e-12,6.454466e-10,4.278802e-14,7.704421e-11,8.439710e-13,5.484346e-10,5.961093e-13,4.334552e-10,2.810803e-12,2.207860e-10,5.764604e-13,2.061136e-10,1.966210e-13,9.376616e-11,3.919416e-13,1.234360e-10
3.654383e+01,1.606783e-12,2.714907e-12,1.606783e-12,6.173553e-10,4.134123e-14,7.369108e-11,8.147179e-13,5.245656e-10,5.751872e-13,4.145903e-10,2.714907e-12,2.091994e-10,5.578126e-13,1.952966e-10,1.895304e-13,8.884527e-11,3.798014e-13,1.169580e-10
3.783463e+01,1.551965e-12,2.622283e-12,1.551965e-12,5.914416e-10,3.994183e-14,7.059787e-11,7.865375e-13,5.025467e-10,5.550742e-13,3.971877e-10,2.622283e-12,1.983362e-10,5.397842e-13,1.851551e-10,1.826849e-13,8.423163e-11,3.680602e-13,1.108845e-10
