1.013925407558815238e-02,1.449798395179859437e-05
1.025677930744421824e-02,1.407422604440896434e-05
1.037566678745185933e-02,1.366285404975535915e-05
1.049593230558227598e-02,1.326350594312598197e-05
1.061759183483000114e-02,1.287583028133772948e-05
1.074066153333433360e-02,1.249948589345152351e-05
1.086515774652538346e-02,1.213414158052737294e-05
1.099109700929497106e-02,1.177947582415537296e-05
1.111849604819271052e-02,1.143517650350595333e-05
1.124737178364751920e-02,1.110094062065028356e-05
1.137774133221491381e-02,1.077647403390946119e-05
1.150962200885032385e-02,1.045781060407447959e-05
1.164303132920876775e-02,1.014371264754534332e-05
1.177798701197119331e-02,9.839048551508703199e-06
1.191450698119776025e-02,9.543534972116093909e-06
1.205260936870842549e-02,9.256897075686977520e-06
1.219231251649110712e-02,8.978868283107678167e-06
1.233363497913775829e-02,8.709397021430035333e-06
1.247659552630869632e-02,8.451341928220037486e-06
1.262121314522547319e-02,8.200932878813978075e-06
1.276750704319265690e-02,7.957943324744522163e-06
1.291549665014883955e-02,7.722153430062507002e-06
1.306520162124721190e-02,7.493349872448439962e-06
1.321664183946604995e-02,7.271175367357707149e-06
1.336983741824946531e-02,7.054568723970276578e-06
1.352480870417875278e-02,6.844414742716425938e-06
1.368157627967471826e-02,6.640521200273933869e-06
1.384016096573131502e-02,6.442701599609137534e-06
1.400058382468097502e-02,6.250774999392191485e-06
1.416286616299198761e-02,6.064832597170626657e-06
1.432702953409830879e-02,5.884614491751142573e-06
1.449309574126216547e-02,5.709751615021082948e-06
1.466108684046984502e-02,5.540084834942933542e-06
1.483102514336104294e-02,5.375459748129751603e-06
1.500293322019218348e-02,5.215658480994051653e-06
1.517683390283405473e-02,5.060487376736856861e-06
1.535275028780422844e-02,4.909932769453933387e-06
1.553070573933460104e-02,4.763857313700626568e-06
1.571072389247450338e-02,4.622127750197889179e-06
1.589282865622978005e-02,4.484933689500528452e-06
1.607704421673823714e-02,4.352219454003382278e-06
1.626339504048192330e-02,4.223432382099496750e-06
1.645190587753662254e-02,4.098456264598261462e-06
1.664260176485903367e-02,3.977178331069834554e-06
1.683550802961202367e-02,3.866493686116825668e-06
1.703065029252844378e-02,3.760890753069455942e-06
1.722805447131393886e-02,3.658172081674509937e-06
1.742774678408919031e-02,3.558258896039694359e-06
1.762975375287205784e-02,3.457333851063497398e-06
1.783410220710007765e-02,3.352579730284325079e-06
1.804081928719382735e-02,3.250999565591818417e-06
1.824993244816152174e-02,3.152497188957787861e-06
1.846146946324547441e-02,3.057863228251983828e-06
1.867545842761075825e-02,2.971141300233903614e-06
1.889192776207666152e-02,2.886878832380590245e-06
1.911090621689137681e-02,2.805006073656275348e-06
1.933242287555045000e-02,2.725715561296208291e-06
1.955650715865948908e-02,2.650328106406142929e-06
1.978318882784164262e-02,2.577025707064605141e-06
2.001249798969036847e-02,2.505750695100592132e-06
2.024446509976803726e-02,2.436928568841920036e-06
2.047912096665085308e-02,2.371106605835447417e-06
2.071649675602068794e-02,2.307062508158890522e-06
2.095662399480432980e-02,2.244748255288603292e-06
2.119953457536070951e-02,2.186936776839642769e-06
2.144526075971667223e-02,2.132273042650771329e-06
2.169383518385184159e-02,2.078975659728710731e-06
2.194529086203313509e-02,2.026176645613331536e-06
2.219966119119954825e-02,1.967391880337880364e-06
2.245697995539774200e-02,1.910312617213967380e-06
2.271728133026905058e-02,1.854889375094988304e-06
2.298059988758851396e-02,1.805904220439117550e-06
2.324697059985647921e-02,1.760106389966844573e-06
2.351642884494348565e-02,1.715469994997198256e-06
2.378901041078893344e-02,1.671965581461880521e-06
2.406475150015424322e-02,1.629564442249388319e-06
2.434368873543110365e-02,1.588238598262136298e-06
2.462585916350546605e-02,1.550737721896180942e-06
2.491130026067788286e-02,1.520104799960402806e-06
2.520004993764092191e-02,1.490076993830523862e-06
2.549214654451422910e-02,1.460642350185887663e-06
2.578762887593800956e-02,1.431789151829024738e-06
2.608653617622547910e-02,1.403505913021341362e-06
2.638890814457510101e-02,1.372900072386204952e-06
2.669478494034320526e-02,1.337765126915138680e-06
2.700420718837772543e-02,1.303529346953700266e-06
2.731721598441376117e-02,1.273025876165582640e-06
2.763385290053169824e-02,1.245845001521600639e-06
2.795415999067856275e-02,1.219244476389945264e-06
2.827817979625341094e-02,1.193211909500619942e-06
2.860595535175742068e-02,1.176040756432734605e-06
2.893753019050950351e-02,1.161124248058434965e-06
2.927294835042815874e-02,1.146396935696995190e-06
2.961225437988034351e-02,1.131856419649349333e-06
2.995549334359813229e-02,1.117210268166883334e-06
3.030271082866396390e-02,1.102501195587088091e-06
3.065395295056527053e-02,1.087985781105795036e-06
3.100926635931926939e-02,1.073661475040898454e-06
3.136869824566876352e-02,1.061209008937640657e-06
3.173229634734976018e-02,1.058635027539003085e-06
3.210010895543171511e-02,1.056067289378203353e-06
3.247218492073129098e-02,1.053505779312158590e-06
3.284857366030043135e-02,1.050950482234513696e-06
3.322932516398971470e-02,1.058747606494825662e-06
3.361449000108764767e-02,1.070506008918240830e-06
3.400411932703705647e-02,1.082394999620396969e-06
3.439826489022924927e-02,1.077258014930800054e-06
3.479697903887691429e-02,1.063581380668521682e-06
3.520031472796678745e-02,1.045049397198007385e-06
3.560832552629277642e-02,1.021362638437590425e-06
3.602106562357069997e-02,9.991518481304387628e-07
3.643858983763544057e-02,9.792356434357104624e-07
3.686095362172157885e-02,9.604304624017478458e-07
3.728821307182833555e-02,9.440699309157088633e-07
3.772042493416997294e-02,9.277313370542307443e-07
3.815764661271248137e-02,9.107589806261225093e-07
3.859993617679766814e-02,8.943756105384703878e-07
