# mu- N -> HNL X isoscalar cross section, MadGraph5 + CT18NNLO (lhaid 14000), Majorana HNL, U_mu^2=1.
# Process: mu- p > n1 j (CC, W-exchange via V_muN), fixed target, sigma_iso=(sigma_p+sigma_n)/2.
# columns: ebeam1[GeV]  mN[GeV]  sigma_iso[pb]  err[pb]  sigma_proton[pb]  sigma_neutron[pb]
   1000.0000   40.000   1.598610e-07   9.0002e-10   2.788800e-07   4.084200e-08
   1500.0000    0.100   4.475850e+00   1.9399e-02   5.804800e+00   3.146900e+00
   1500.0000    0.500   4.415550e+00   2.0375e-02   5.712900e+00   3.118200e+00
   1500.0000    1.000   4.387200e+00   2.5612e-02   5.672400e+00   3.102000e+00
   1500.0000    2.000   4.251850e+00   2.2153e-02   5.506600e+00   2.997100e+00
   1500.0000    3.000   4.085850e+00   2.1937e-02   5.347500e+00   2.824200e+00
   1500.0000    5.000   3.615000e+00   1.3984e-02   4.788400e+00   2.441600e+00
   1500.0000    7.000   3.138100e+00   9.6283e-03   4.224700e+00   2.051500e+00
   1500.0000   10.000   2.390150e+00   6.6681e-03   3.293200e+00   1.487100e+00
   1500.0000   14.000   1.548910e+00   5.0786e-03   2.192000e+00   9.058200e-01
   1500.0000   20.000   6.775300e-01   2.0714e-03   1.000900e+00   3.541600e-01
   1500.0000   25.000   2.818300e-01   1.1536e-03   4.296900e-01   1.339700e-01
   1500.0000   30.000   9.270150e-02   2.9284e-04   1.458800e-01   3.952300e-02
   1500.0000   35.000   2.191680e-02   9.8053e-05   3.547400e-02   8.359600e-03
   1500.0000   40.000   3.048800e-03   1.1352e-05   5.091400e-03   1.006200e-03
   1500.0000   45.000   1.326630e-04   5.8613e-07   2.275200e-04   3.780600e-05
   1500.0000   50.000   2.314330e-08   9.9657e-11   4.042400e-08   5.862600e-09
   2000.0000    0.100   5.787200e+00   3.2170e-02   7.438600e+00   4.135800e+00
   2000.0000    0.500   5.795150e+00   3.3614e-02   7.509200e+00   4.081100e+00
   2000.0000    1.000   5.777650e+00   2.8349e-02   7.441500e+00   4.113800e+00
   2000.0000    2.000   5.641100e+00   2.5648e-02   7.325900e+00   3.956300e+00
   2000.0000    3.000   5.416850e+00   2.2155e-02   7.079300e+00   3.754400e+00
   2000.0000    5.000   4.932000e+00   1.3595e-02   6.489200e+00   3.374800e+00
   2000.0000    7.000   4.365650e+00   1.4646e-02   5.805500e+00   2.925800e+00
   2000.0000   10.000   3.510650e+00   9.5549e-03   4.764500e+00   2.256800e+00
   2000.0000   14.000   2.457700e+00   9.2296e-03   3.419300e+00   1.496100e+00
   2000.0000   20.000   1.280955e+00   4.1204e-03   1.851000e+00   7.109100e-01
   2000.0000   25.000   6.535800e-01   2.6158e-03   9.731000e-01   3.340600e-01
   2000.0000   30.000   2.943900e-01   9.4337e-04   4.513000e-01   1.374800e-01
   2000.0000   35.000   1.089760e-01   3.6781e-04   1.713700e-01   4.658200e-02
   2000.0000   40.000   3.182400e-02   1.2653e-04   5.138900e-02   1.225900e-02
   2000.0000   45.000   6.330300e-03   2.3077e-05   1.048300e-02   2.177600e-03
   2000.0000   50.000   6.453550e-04   3.0289e-06   1.097100e-03   1.936100e-04
   2000.0000   55.000   1.223795e-05   5.2066e-08   2.123000e-05   3.245900e-06
   2000.0000   60.000   0.000000e+00   0.0000e+00   0.000000e+00   0.000000e+00
   3000.0000    0.100   8.355000e+00   5.5920e-02   1.068000e+01   6.030000e+00
   3000.0000    0.500   8.352300e+00   3.6626e-02   1.070900e+01   5.995600e+00
   3000.0000    1.000   8.341450e+00   4.1661e-02   1.071800e+01   5.964900e+00
   3000.0000    2.000   8.148200e+00   4.1788e-02   1.050600e+01   5.790400e+00
   3000.0000    3.000   7.974200e+00   2.6404e-02   1.029200e+01   5.656400e+00
   3000.0000    5.000   7.343550e+00   3.2685e-02   9.588200e+00   5.098900e+00
   3000.0000    7.000   6.718400e+00   2.5942e-02   8.824800e+00   4.612000e+00
   3000.0000   10.000   5.640550e+00   1.8973e-02   7.520000e+00   3.761100e+00
   3000.0000   14.000   4.354850e+00   1.7196e-02   5.934100e+00   2.775600e+00
   3000.0000   20.000   2.704500e+00   9.9985e-03   3.809100e+00   1.599900e+00
   3000.0000   25.000   1.689420e+00   7.3162e-03   2.443200e+00   9.356400e-01
   3000.0000   30.000   9.738850e-01   3.4587e-03   1.441900e+00   5.058700e-01
   3000.0000   35.000   5.175600e-01   1.7686e-03   7.847300e-01   2.503900e-01
   3000.0000   40.000   2.454100e-01   8.2328e-04   3.811200e-01   1.097000e-01
   3000.0000   45.000   1.013110e-01   3.4282e-04   1.606300e-01   4.199200e-02
   3000.0000   50.000   3.491250e-02   9.9725e-05   5.659800e-02   1.322700e-02
   3000.0000   55.000   9.235950e-03   3.2186e-05   1.529400e-02   3.177900e-03
   3000.0000   60.000   1.600485e-03   5.7332e-06   2.700100e-03   5.008700e-04
   3000.0000   65.000   1.274535e-04   5.3450e-07   2.192000e-04   3.570700e-05
   3000.0000   70.000   9.518700e-07   4.4801e-09   1.657600e-06   2.461400e-07
   5000.0000    0.100   1.296010e+01   7.8042e-02   1.627300e+01   9.647200e+00
   5000.0000    0.500   1.314460e+01   6.8123e-02   1.673300e+01   9.556200e+00
   5000.0000    1.000   1.302005e+01   6.1349e-02   1.635000e+01   9.690100e+00
   5000.0000    2.000   1.277945e+01   5.3313e-02   1.621700e+01   9.341900e+00
   5000.0000    3.000   1.252450e+01   5.0311e-02   1.592900e+01   9.120000e+00
   5000.0000    5.000   1.185590e+01   3.1977e-02   1.519100e+01   8.520800e+00
   5000.0000    7.000   1.102840e+01   2.6412e-02   1.421700e+01   7.839800e+00
   5000.0000   10.000   9.761950e+00   3.5951e-02   1.274100e+01   6.782900e+00
   5000.0000   14.000   8.100150e+00   3.4048e-02   1.081200e+01   5.388300e+00
   5000.0000   20.000   5.772250e+00   2.0878e-02   7.909800e+00   3.634700e+00
   5000.0000   25.000   4.194100e+00   1.3405e-02   5.850100e+00   2.538100e+00
   5000.0000   30.000   2.934550e+00   5.9678e-03   4.191900e+00   1.677200e+00
   5000.0000   35.000   1.964150e+00   6.0020e-03   2.860500e+00   1.067800e+00
   5000.0000   40.000   1.255630e+00   4.0344e-03   1.868300e+00   6.429600e-01
   5000.0000   45.000   7.626950e-01   2.4836e-03   1.152600e+00   3.727900e-01
   5000.0000   50.000   4.324000e-01   1.3846e-03   6.658600e-01   1.989400e-01
   5000.0000   55.000   2.283120e-01   7.5942e-04   3.575400e-01   9.908400e-02
   5000.0000   60.000   1.094275e-01   2.8657e-04   1.743100e-01   4.454500e-02
   5000.0000   65.000   4.664250e-02   1.6502e-04   7.559800e-02   1.768700e-02
   5000.0000   70.000   1.697735e-02   6.5316e-05   2.794000e-02   6.014700e-03
   5000.0000   75.000   4.954850e-03   1.8755e-05   8.283700e-03   1.626000e-03
   5000.0000   80.000   1.040870e-03   4.2998e-06   1.768000e-03   3.137400e-04
   5000.0000   85.000   1.200540e-04   4.9730e-07   2.068600e-04   3.324800e-05
   5000.0000   90.000   3.304665e-06   1.2614e-08   5.751800e-06   8.575300e-07
